line_number,modified_ast
11,ClassDeclaration 11 BaseList 11 SimpleBaseType 11 GenericName 11 TypeArgumentList 11 PredefinedType 11 IdentifierName 11 SimpleBaseType 11 IdentifierName
21,ConstructorDeclaration 21 ParameterList 21 Parameter 21 IdentifierName
30,ConstructorDeclaration 30 ParameterList 30 Parameter 30 GenericName 30 TypeArgumentList 30 IdentifierName
10,FieldDeclaration 10 VariableDeclaration 10 PredefinedType 10 VariableDeclarator
11,FieldDeclaration 11 VariableDeclaration 11 PredefinedType 11 VariableDeclarator
11,ClassDeclaration 11 BaseList 11 SimpleBaseType 11 IdentifierName
11,ClassDeclaration 11 BaseList 11 SimpleBaseType 11 IdentifierName
15,FieldDeclaration 15 VariableDeclaration 15 IdentifierName 15 VariableDeclarator 15 EqualsValueClause 15 ObjectCreationExpression 15 IdentifierName 15 ArgumentList 15 Argument 15 StringLiteralExpression
20,FieldDeclaration 20 VariableDeclaration 20 GenericName 20 TypeArgumentList 20 IdentifierName 20 VariableDeclarator 20 EqualsValueClause 20 ObjectCreationExpression 20 GenericName 20 TypeArgumentList 20 IdentifierName 20 ArgumentList
12,ClassDeclaration 12 BaseList 12 SimpleBaseType 12 GenericName 12 TypeArgumentList 12 IdentifierName
24,MethodDeclaration 24 PredefinedType 24 TypeParameterList 24 TypeParameter 24 ParameterList 24 Parameter 24 IdentifierName 24 Parameter 24 IdentifierName 24 Parameter 24 IdentifierName
37,MethodDeclaration 37 PredefinedType 37 TypeParameterList 37 TypeParameter 37 ParameterList 37 Parameter 37 IdentifierName 37 Parameter 37 IdentifierName 37 Parameter 37 IdentifierName
52,MethodDeclaration 52 PredefinedType 52 TypeParameterList 52 TypeParameter 52 ParameterList
50,ReturnStatement 50 ObjectCreationExpression 50 IdentifierName 50 ArgumentList 50 Argument 50 InvocationExpression 50 SimpleMemberAccessExpression 50 InvocationExpression 50 SimpleMemberAccessExpression 50 IdentifierName 50 IdentifierName 50 ArgumentList 50 Argument 50 SubtractExpression 50 SimpleMemberAccessExpression 50 IdentifierName 50 IdentifierName 50 NumericLiteralExpression 50 IdentifierName 50 ArgumentList
14,ClassDeclaration 14 BaseList 14 SimpleBaseType 14 IdentifierName 14 SimpleBaseType 14 IdentifierName 14 SimpleBaseType 14 IdentifierName 14 SimpleBaseType 14 GenericName 14 TypeArgumentList 14 IdentifierName
110,MethodDeclaration 110 IdentifierName 110 ParameterList 110 Parameter 110 IdentifierName
110,LocalDeclarationStatement 110 VariableDeclaration 110 IdentifierName 110 VariableDeclarator 110 EqualsValueClause 110 InvocationExpression 110 SimpleMemberAccessExpression 110 InvocationExpression 110 SimpleMemberAccessExpression 110 InvocationExpression 110 SimpleMemberAccessExpression 110 InvocationExpression 110 SimpleMemberAccessExpression 110 IdentifierName 110 GenericName 110 TypeArgumentList 110 IdentifierName 110 ArgumentList 110 IdentifierName 110 ArgumentList 110 IdentifierName 110 ArgumentList
110,LocalDeclarationStatement 110 VariableDeclaration 110 IdentifierName 110 VariableDeclarator 110 EqualsValueClause 110 InvocationExpression 110 SimpleMemberAccessExpression 110 InvocationExpression 110 SimpleMemberAccessExpression 110 InvocationExpression 110 SimpleMemberAccessExpression 110 InvocationExpression 110 SimpleMemberAccessExpression 110 IdentifierName 110 GenericName 110 TypeArgumentList 110 IdentifierName 110 ArgumentList 110 IdentifierName 110 ArgumentList 110 IdentifierName 110 ArgumentList
575,FieldDeclaration 575 VariableDeclaration 575 IdentifierName 575 VariableDeclarator 575 EqualsValueClause 575 ObjectCreationExpression 575 IdentifierName 575 ArgumentList 575 Argument 575 StringLiteralExpression
170,LocalDeclarationStatement 170 VariableDeclaration 170 IdentifierName 170 VariableDeclarator 170 EqualsValueClause 170 InvocationExpression 170 SimpleMemberAccessExpression 170 InvocationExpression 170 SimpleMemberAccessExpression 170 InvocationExpression 170 SimpleMemberAccessExpression 170 InvocationExpression 170 SimpleMemberAccessExpression 170 IdentifierName 170 GenericName 170 TypeArgumentList 170 IdentifierName 170 ArgumentList 170 IdentifierName 170 ArgumentList 170 IdentifierName 170 ArgumentList
551,IfStatement 551 LogicalNotExpression 551 InvocationExpression 551 SimpleMemberAccessExpression 551 IdentifierName 551 IdentifierName 551 ArgumentList 551 Argument 551 SimpleMemberAccessExpression 551 SimpleMemberAccessExpression 551 IdentifierName 551 IdentifierName 551 IdentifierName
13,ClassDeclaration 13 BaseList 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 GenericName 13 TypeArgumentList 13 IdentifierName
107,MethodDeclaration 107 IdentifierName 107 ParameterList 107 Parameter 107 IdentifierName
13,ClassDeclaration 13 TypeParameterList 13 TypeParameter 13 BaseList 13 SimpleBaseType 13 GenericName 13 TypeArgumentList 13 PredefinedType 13 IdentifierName
29,Parameter 29 GenericName 29 TypeArgumentList 29 PredefinedType 29 IdentifierName 29 EqualsValueClause 29 NullLiteralExpression
15,ClassDeclaration 15 BaseList 15 SimpleBaseType 15 IdentifierName 15 SimpleBaseType 15 IdentifierName 15 SimpleBaseType 15 IdentifierName 15 SimpleBaseType 15 GenericName 15 TypeArgumentList 15 IdentifierName
147,MethodDeclaration 147 IdentifierName 147 ParameterList 147 Parameter 147 IdentifierName
13,ClassDeclaration 13 BaseList 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 GenericName 13 TypeArgumentList 13 IdentifierName
117,MethodDeclaration 117 IdentifierName 117 ParameterList 117 Parameter 117 IdentifierName
16,ClassDeclaration 16 BaseList 16 SimpleBaseType 16 IdentifierName 16 SimpleBaseType 16 IdentifierName 16 SimpleBaseType 16 GenericName 16 TypeArgumentList 16 IdentifierName 16 SimpleBaseType 16 IdentifierName
19,FieldDeclaration 19 VariableDeclaration 19 NullableType 19 IdentifierName 19 VariableDeclarator
19,FieldDeclaration 19 VariableDeclaration 19 NullableType 19 IdentifierName 19 VariableDeclarator
205,MethodDeclaration 205 IdentifierName 205 ParameterList 205 Parameter 205 IdentifierName
307,IfStatement 307 IsExpression 307 ThisExpression 307 IdentifierName
311,ElseClause 311 IfStatement 311 IsExpression 311 ThisExpression 311 IdentifierName
335,IfStatement 335 IsExpression 335 ThisExpression 335 IdentifierName
341,ElseClause
385,IfStatement 385 LogicalAndExpression 385 EqualsExpression 385 SimpleMemberAccessExpression 385 ThisExpression 385 IdentifierName 385 SimpleMemberAccessExpression 385 IdentifierName 385 IdentifierName 385 EqualsExpression 385 SimpleMemberAccessExpression 385 ThisExpression 385 IdentifierName 385 TrueLiteralExpression
13,ClassDeclaration 13 BaseList 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 GenericName 13 TypeArgumentList 13 IdentifierName
118,MethodDeclaration 118 IdentifierName 118 ParameterList 118 Parameter 118 IdentifierName
8,ClassDeclaration 8 BaseList 8 SimpleBaseType 8 GenericName 8 TypeArgumentList 8 IdentifierName
50,FieldDeclaration 50 VariableDeclaration 50 PredefinedType 50 VariableDeclarator 50 EqualsValueClause 50 FalseLiteralExpression
71,ThrowStatement 71 InvocationExpression 71 SimpleMemberAccessExpression 71 IdentifierName 71 IdentifierName 71 ArgumentList 71 Argument 71 InvocationExpression 71 IdentifierName 71 ArgumentList 71 Argument 71 IdentifierName
102,ThrowStatement 102 InvocationExpression 102 SimpleMemberAccessExpression 102 IdentifierName 102 IdentifierName 102 ArgumentList 102 Argument 102 InvocationExpression 102 IdentifierName 102 ArgumentList 102 Argument 102 IdentifierName
15,ClassDeclaration 15 BaseList 15 SimpleBaseType 15 IdentifierName 15 SimpleBaseType 15 IdentifierName 15 SimpleBaseType 15 IdentifierName 15 SimpleBaseType 15 GenericName 15 TypeArgumentList 15 IdentifierName
99,MethodDeclaration 99 IdentifierName 99 ParameterList 99 Parameter 99 IdentifierName
13,ClassDeclaration 13 BaseList 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 IdentifierName 13 SimpleBaseType 13 GenericName 13 TypeArgumentList 13 IdentifierName
104,MethodDeclaration 104 IdentifierName 104 ParameterList 104 Parameter 104 IdentifierName
8,ClassDeclaration 8 BaseList 8 SimpleBaseType 8 GenericName 8 TypeArgumentList 8 IdentifierName
14,ClassDeclaration 14 BaseList 14 SimpleBaseType 14 IdentifierName 14 SimpleBaseType 14 IdentifierName 14 SimpleBaseType 14 GenericName 14 TypeArgumentList 14 IdentifierName 14 SimpleBaseType 14 IdentifierName
